2200 4349
0 3727 1371
0 3637 122
1 250 3049
0 1576 654
0 1821 1823
1 3929 1700
0 1860 1513
0 612 2130
0 2892 3464
0 3517 531
0 4310 3437
1 425 1165
0 4513 996
0 903 1258
0 4698 2017
0 3050 3329
0 2976 3812
1 4332 2374
0 2619 1900
1 160 4244
0 2567 2634
0 4490 234
0 4652 2203
0 4504 1478
1 1706 933
1 3532 4059
0 499 1740
1 2854 4025
1 4838 906
0 4426 375
0 4452 4001
1 4995 107
1 4690 2225
0 140 356
1 2920 4216
0 1203 2579
0 268 1131
1 1975 2476
1 3287 4030
0 3447 922
0 4621 3108
0 2468 613
1 3766 4028
1 1673 936
0 2093 2021
0 2427 601
1 2075 732
1 366 1512
1 277 1329
0 2132 2811
0 1088 1139
1 4713 4022
0 2495 2996
1 438 263
1 4397 2378
1 2429 1211
0 3065 1547
1 1803 414
1 144 2198
0 1983 3457
0 2688 215
0 767 1186
0 1214 1763
1 2366 551
1 3420 2253
1 3238 2386
1 2078 4258
1 2504 4285
0 4194 1322
0 1785 3383
1 76 3785
1 2335 557
0 2381 4102
0 1684 323
1 4212 4294
0 4762 4260
1 759 1549
1 1982 1605
0 2444 1590
0 3773 2832
1 2157 173
1 4627 3083
1 3599 3266
1 1567 3715
0 320 709
1 2902 974
1 797 1735
0 717 190
1 816 1100
0 2590 2678
0 1668 4031
1 3441 1024
1 3676 3540
0 2234 658
1 535 1263
1 4296 1
1 4456 2877
0 4446 1831
1 4065 1145
0 1562 2506
1 3721 233
0 4265 2823
1 1880 2499
0 299 2998
1 1204 1384
0 160 1222
1 4224 3151
1 3209 385
1 2744 2861
1 273 3834
1 920 2152
0 3194 2334
1 368 3115
1 3746 3775
1 1246 57
0 484 641
1 3416 3243
1 4488 172
1 2120 678
1 776 2239
1 2100 2820
0 1407 2466
1 3491 2199
1 3378 1573
0 3301 1611
1 148 3210
1 3212 2385
0 4654 2378
0 2567 668
1 2368 3478
0 1969 266
0 92 3946
0 2353 673
1 632 1643
0 1578 1156
1 2747 1323
0 4298 3364
0 1807 1733
0 4834 1527
1 4769 1620
0 942 1133
1 1568 2945
0 3896 327
1 3294 1108
0 3506 362
0 779 3224
1 4652 1272
0 835 2098
1 2873 2251
1 1533 2408
1 294 824
0 4903 4302
0 3119 2260
1 1135 1974
0 976 667
1 2296 4298
0 1592 3393
0 3429 3958
1 2460 399
1 1252 2446
1 2171 165
1 3538 2884
1 1796 1865
1 4299 2492
1 324 1695
0 4154 2085
1 2181 4257
0 56 3240
1 4585 1131
0 601 3804
0 4225 559
1 2749 499
1 1390 3311
1 1747 4243
0 2113 419
1 994 1625
0 519 2023
1 1693 3248
0 3997 3049
0 3008 4040
0 258 657
1 2394 1695
0 4317 3483
1 1849 4297
1 4773 1397
0 416 891
1 4721 2362
1 1984 870
1 632 372
0 4478 1629
1 3421 3465
0 982 969
0 698 1736
1 4366 3281
1 2634 4111
1 827 1571
1 802 2457
0 3386 1965
0 4988 3698
1 1544 452
1 3655 743
0 1896 417
0 368 699
1 4108 552
0 4864 232
1 2451 157
0 1510 2316
1 265 33
1 2702 1631
0 1875 734
0 4437 2109
1 3351 2062
0 4658 2289
0 1729 2286
1 1413 2001
1 2130 3558
0 649 3499
0 3041 200
0 2641 2501
0 3730 2802
0 4840 2731
1 3039 1769
0 661 518
0 3403 1443
0 1982 3474
1 4032 2024
1 1730 4104
1 879 2744
0 1215 274
1 1374 754
0 603 651
0 1205 343
1 1427 247
1 4339 2153
1 1345 1899
0 12 444
1 2790 1930
1 3892 337
1 2231 412
0 1860 3784
1 4653 2853
1 1399 91
1 447 1908
1 2808 1531
1 208 1609
0 4061 156
1 2847 730
1 4918 3208
1 1963 3078
1 4326 3566
1 736 3126
1 2384 138
0 2309 1083
1 2522 1767
0 4131 9
0 2765 3269
0 3807 885
0 339 1675
0 4590 4032
0 1422 4244
1 4913 3793
1 2017 2601
1 2587 2101
0 752 2177
1 4498 996
1 2874 821
0 4539 2458
0 3633 3125
1 2696 3885
0 1662 800
1 1040 2003
1 1833 2012
1 439 1280
0 3658 2079
0 647 1590
1 3911 1058
1 214 1366
1 3753 2878
0 4446 104
0 4255 1198
1 3859 663
1 3992 1989
1 3390 964
0 4361 3382
1 4426 2313
1 4069 2113
0 4701 2793
0 1481 162
1 1099 1333
0 1792 1641
0 2685 615
1 2340 3140
0 476 2390
0 4679 1193
1 4349 1363
1 1687 273
1 4567 2728
1 3878 2853
1 3252 4134
0 385 1395
1 3290 511
0 3006 3121
1 1365 2902
1 158 1497
0 4393 620
0 3365 2952
0 3688 126
1 4224 2931
1 2781 835
1 1099 3001
1 3433 2294
0 1345 3724
1 3826 946
0 4265 3621
0 3374 2811
0 578 465
1 1298 3408
1 3882 2112
1 1161 361
1 4233 578
1 2594 54
1 1224 3753
0 166 1767
0 1247 1197
1 2794 3600
0 1858 912
0 3775 3195
1 4463 4114
1 4150 2537
1 1088 2233
1 661 1703
0 3864 729
0 997 3159
0 2481 3196
1 3473 2700
1 4717 2654
1 929 1661
1 4444 4194
0 2191 137
1 1948 3735
0 4815 228
1 574 1336
1 1923 2084
1 4037 3052
1 1182 4239
1 1729 4108
1 313 3122
0 527 703
0 3956 3677
0 408 3704
0 1820 1727
1 784 2511
1 3525 1111
0 2912 4006
1 3840 4058
1 1805 517
0 3665 2992
0 4546 2358
0 2559 2000
1 4557 835
0 3922 1458
0 371 495
0 1415 3751
0 3050 1339
1 1812 438
1 4821 491
1 4497 4151
0 416 32
1 3373 1389
1 559 4008
0 3921 2561
0 3273 3082
0 1893 1828
1 350 1246
0 4033 767
0 4123 4265
0 3700 2800
1 3078 4206
1 2782 852
0 3120 398
0 4499 2563
1 3739 739
1 2975 2149
0 3028 3918
0 864 989
0 2620 2132
1 2802 4242
0 76 884
1 3986 3841
0 3443 2429
1 4355 1468
1 643 3143
0 2677 3598
1 4575 2235
0 738 756
1 1625 3947
1 3408 343
0 1935 2064
1 1269 1537
1 2486 148
1 1146 1906
1 1168 672
1 825 255
1 3361 1755
0 1829 3160
0 3909 160
1 75 2095
1 378 3068
1 1544 3299
0 410 4003
1 3742 864
0 3743 1157
0 4151 1999
0 4294 1189
0 2197 2280
0 77 2639
0 553 48
0 1425 3461
1 2770 714
0 3571 4345
1 4976 115
1 4985 2173
0 4242 980
1 4477 495
1 2562 2590
0 3288 48
0 1929 1166
0 1890 1935
1 1459 435
0 3254 2915
1 1114 1187
1 4832 1143
0 3278 3816
1 2276 1128
0 187 3895
1 3839 1866
1 3491 640
1 569 1584
1 4100 159
0 1978 29
0 4612 482
1 2096 2746
0 4524 3992
1 1045 2599
0 954 3375
0 4150 630
0 710 1715
0 2538 2694
1 4706 2313
0 4040 2014
0 1406 1428
1 3131 1034
0 552 3368
1 2909 711
0 1031 2984
1 1127 4077
0 540 53
1 1199 411
0 3641 3464
0 4732 950
1 22 494
0 1975 3648
1 3128 2856
1 4052 1932
1 1080 2369
1 3046 4076
0 3788 220
1 3148 138
1 4399 1428
1 3935 264
0 1437 1022
0 1518 198
1 1272 174
1 2926 1320
0 1174 1885
0 1967 894
1 808 3325
1 4756 3287
1 3646 2744
1 1238 751
1 220 2943
0 1997 2777
1 2405 923
1 1993 1111
0 3671 432
0 1171 1141
1 2917 71
1 3503 531
0 4128 3660
1 3432 238
0 2500 3897
0 4999 2812
0 4257 629
1 4753 569
1 537 577
1 4042 3386
1 3313 4009
1 2138 3031
0 1367 588
0 400 2821
1 1817 1295
1 1112 1744
0 3450 744
0 1453 2091
0 3047 4210
0 2109 3909
0 605 2809
1 2047 3872
0 3486 2048
1 1271 446
1 2991 4164
1 2513 2734
0 3186 4009
0 3765 4199
0 1243 429
0 1994 2193
0 836 1568
1 2038 3701
0 1806 426
1 4266 4099
1 4202 2639
0 2761 4291
1 4941 3169
1 2704 265
1 4448 860
0 711 1545
1 1886 1356
1 4934 3938
0 4695 1
1 3888 2815
0 1560 2518
0 2231 404
0 2014 2928
1 708 2500
1 2063 846
1 1827 2903
1 3462 3881
0 3923 2239
0 3905 2577
1 4597 2229
0 919 2368
0 2212 2808
1 2341 2661
1 3139 1223
1 4722 3055
1 1980 617
0 4610 86
0 2095 3392
0 2826 1553
1 1310 3328
1 462 496
0 2185 4029
0 2889 1549
0 3865 4196
1 4168 3899
0 3247 1882
1 459 4038
1 394 2662
0 2985 2781
0 1574 3669
1 4104 4154
1 782 2769
1 190 4266
1 694 3238
1 3001 1456
1 1877 857
1 2797 3979
0 1925 2383
0 3183 2292
1 1828 2663
0 3808 1374
1 41 793
0 2738 106
0 3295 1975
0 794 3271
1 4012 2701
1 3576 1245
1 4095 3701
1 4016 777
1 4811 2723
0 494 4168
1 174 1986
0 1035 569
1 22 738
0 4647 3066
0 428 2753
1 1965 1681
0 4714 3887
1 4070 4062
1 4367 4259
0 3532 175
1 666 312
1 2904 3818
1 2730 1547
1 4894 1448
0 2396 1355
0 762 1397
0 490 2659
1 2154 2445
1 287 3411
0 365 4234
0 3899 2302
1 4579 2392
0 1493 1352
1 4288 429
0 3757 3621
1 265 582
1 2386 1253
0 567 1002
0 175 969
0 1020 3877
0 3595 1209
0 4425 3650
0 4544 3798
1 327 2390
0 66 2491
0 3246 2869
1 4127 1218
1 125 1426
1 3959 3205
0 2698 2843
0 1225 150
0 1559 151
1 1601 2677
1 4082 578
1 245 3997
0 3839 1243
0 4273 3138
1 3387 3642
1 4688 850
0 2108 2521
0 2365 569
0 4356 1644
1 363 3788
0 527 4004
0 487 3447
1 350 1026
1 4030 2399
1 2966 119
0 1374 3523
0 2130 1260
0 1255 1555
1 2341 904
1 2518 4047
0 3624 1372
0 41 3966
1 484 1637
0 3197 1601
0 10 727
1 1049 804
0 3918 689
0 4020 3223
1 3930 4207
0 206 4155
1 2154 1758
1 1149 1579
0 1493 3629
0 4320 453
0 1606 3885
0 386 1264
1 1698 1409
0 2650 3220
1 1958 3279
1 3977 2867
0 4069 2150
0 466 418
1 2300 1846
0 1274 3109
0 2769 2258
1 4749 4123
0 1293 3893
1 3177 2463
0 711 1753
0 3533 2664
0 3214 1274
1 675 2575
1 11 2927
0 4001 3237
0 2194 1484
1 2303 3108
1 376 3835
1 3979 732
1 1186 1370
1 4574 1257
1 702 562
1 3073 1043
1 2837 656
1 2838 3031
1 2396 3907
1 3115 3546
1 1734 2849
1 3596 3952
0 408 1012
1 1421 2385
0 3317 1874
1 2459 1994
1 3368 3890
1 1993 4330
0 2310 2802
0 735 1198
1 3370 19
1 4209 3158
0 3726 394
0 1686 2177
0 3917 2837
0 1338 3646
0 973 3559
0 130 1153
1 512 4012
1 665 937
0 1539 4097
1 1215 4281
0 2317 2947
1 2384 737
1 2340 3984
0 182 568
1 3040 4212
0 2397 3254
1 2443 724
1 1925 164
1 2605 1499
1 3921 3227
0 4468 603
1 1005 3700
0 4953 1855
1 4627 1655
0 3837 1107
0 3656 4102
0 4722 1922
0 698 2445
1 2317 1791
1 4300 707
1 4505 2349
1 711 2763
1 3253 140
1 2398 1665
0 4483 2650
1 3186 2667
0 2282 2506
1 3636 2191
1 2910 2660
1 2996 4023
1 1460 2226
1 2913 216
1 2444 2714
0 3742 1747
1 638 1869
0 3875 3305
1 848 611
0 1703 3208
0 2013 2927
1 4382 1992
0 1787 3267
1 2342 4097
0 3405 3469
1 4928 3600
1 184 2161
1 2066 621
0 1525 3082
0 4634 3131
1 3443 3214
0 3916 1135
0 1703 1949
0 1310 3293
0 1150 4307
1 1771 782
0 3275 3080
1 3792 1168
1 4211 1697
1 462 2823
1 4827 3480
0 4272 1249
1 440 880
0 1143 615
1 4293 668
1 2333 3752
0 1709 3645
1 1705 1849
0 2549 2034
1 1438 823
1 76 1061
0 1827 1325
1 1073 348
0 951 670
0 3803 2766
1 737 1406
1 329 190
1 466 2005
1 1860 3122
1 1035 2274
0 3978 3319
1 4130 408
1 406 4101
1 862 3300
1 453 1296
1 3034 2759
0 4022 501
1 1692 1222
0 3891 2469
0 3479 1588
1 915 1403
0 3731 1044
0 1196 2850
1 3751 2624
1 242 1708
0 3610 1133
1 2538 301
0 88 3221
1 1611 3043
1 2359 2528
1 123 2135
1 3625 3287
1 1044 3689
1 3452 2959
1 3151 2131
0 2591 4334
1 212 2277
0 1344 860
0 1450 2817
1 2391 1842
1 2904 1301
1 1966 163
0 59 3550
1 3940 2878
1 4470 1082
1 4806 186
0 1628 2948
1 3957 1171
1 4837 1152
1 3158 648
0 102 1973
1 1584 1453
0 2685 1223
1 4601 3768
1 3786 3377
0 4131 1393
1 595 4025
1 2069 3239
0 3640 2257
1 1917 135
1 611 3750
0 1196 2917
0 2296 922
0 4954 1818
1 2621 3850
1 3447 813
0 2726 1390
0 669 3872
1 3620 1148
1 1676 20
1 4931 2693
0 4936 1768
1 1361 2485
0 2911 59
0 4879 1352
0 3086 3460
1 3689 2585
0 1963 1309
1 3217 1530
1 934 52
1 977 2597
1 4799 2441
1 3983 1034
1 1213 328
0 3793 4088
1 2805 3009
0 82 2466
0 2571 2864
0 988 3091
0 1677 1782
0 1554 3057
1 1228 2695
1 4598 3611
0 3960 2378
0 4267 1177
0 3138 3858
1 371 2535
1 44 2945
1 4177 989
1 1390 2165
0 3357 2506
1 10 4340
1 3988 1465
0 3003 714
0 3614 2508
1 4754 4213
0 3158 228
1 218 2561
0 2897 3096
1 3058 4089
1 4339 1242
1 4068 2230
0 693 429
1 4547 1587
0 4547 2410
1 4485 2999
1 814 1287
0 2671 466
0 2625 3399
1 312 494
1 112 2230
1 2227 3694
1 588 2866
1 3439 3356
1 1093 3921
1 2816 1024
1 1744 3236
1 952 407
1 483 194
0 867 3223
1 3491 3686
0 1713 105
1 1894 439
1 4374 2168
0 802 2384
1 2497 3230
0 2859 584
1 1398 4100
1 3331 2563
1 2907 3781
0 1831 3872
0 3496 3714
0 1970 1550
1 1593 2158
0 3263 3139
0 2878 2918
0 1274 144
1 4266 816
0 2226 1414
0 1428 1352
0 3533 1122
1 6 3319
0 777 3302
0 3729 3935
0 3653 4225
1 1640 3743
1 1859 257
0 1051 985
1 169 2350
0 3750 559
1 4956 2819
0 4983 862
1 542 3124
1 3527 1347
1 4663 2409
1 1103 4346
1 344 2051
1 2948 822
1 2607 409
0 356 3739
0 4101 1180
0 2025 1682
1 2623 4245
1 4215 2447
1 3393 2066
1 3420 2621
1 4877 2679
0 4036 2020
0 1516 2551
1 4541 1338
1 4538 3715
0 1393 3199
0 1462 2744
0 4170 2030
0 4597 278
0 1396 1712
0 1206 2469
1 2237 2076
0 540 1882
0 1282 251
0 4564 2090
0 343 1519
1 1303 128
0 1635 676
0 1215 160
0 4707 1353
1 916 3886
0 1538 2204
1 3168 749
0 3412 1023
1 1681 2413
1 723 1387
0 2564 4339
0 1176 2466
0 2127 2927
0 2456 3439
1 3287 2636
0 4496 3560
1 118 4246
0 4373 2531
0 449 480
1 4234 1444
0 3474 650
1 980 1207
1 4571 67
0 194 2221
0 597 1409
1 1985 3722
1 1596 3263
1 1319 1551
1 1085 4275
1 1808 4100
0 3830 3635
1 3455 3008
1 2315 2530
0 2978 3090
0 150 1325
1 2449 1486
0 60 1425
0 2503 2256
0 3189 1016
1 149 116
1 4106 944
1 2623 3125
1 4579 1155
1 749 1944
0 4940 598
0 437 4099
1 3087 3689
0 3009 2885
0 926 961
0 2286 2380
1 380 617
1 975 305
1 4108 3379
0 2997 1207
1 4186 359
1 3271 2607
1 2238 2974
1 4032 738
0 4973 1797
0 4793 1728
1 4354 1373
1 3430 3638
1 4531 3924
1 4971 47
0 1377 3795
0 2952 3809
1 4442 1210
1 4961 2500
1 4308 1235
1 3375 2781
0 2310 3995
1 1570 1108
1 3777 1593
0 1213 3348
0 1924 3603
1 4903 3319
0 2884 2974
0 3008 1542
1 579 2273
1 2875 2142
0 2181 4255
1 228 4153
1 4343 2866
0 3632 4138
1 3797 476
1 1317 1301
0 2168 521
1 3587 1839
0 956 913
0 2897 269
1 554 1996
0 3279 2755
0 2205 2560
0 511 987
0 871 2430
0 4661 2350
0 4833 206
0 2179 1922
1 1659 1297
0 285 3916
1 79 4225
1 1053 2596
1 4776 3757
0 25 1332
0 716 2652
1 3772 3350
1 2744 2395
1 3218 2397
1 3201 548
0 4625 4198
0 4011 2440
0 4892 3878
1 3847 4330
0 2923 2312
1 4399 1962
1 2071 134
0 4960 2476
1 232 1175
1 2827 2782
1 3699 3860
1 745 329
0 4518 3246
1 3296 2682
1 1987 833
0 3399 4125
0 1105 1576
1 1118 249
1 1918 349
1 2035 4161
1 3127 4284
1 3184 647
0 930 1461
1 123 1349
1 537 4069
1 2197 2618
1 2170 3631
0 4229 2487
1 2467 1582
1 103 3311
0 336 4237
1 1846 4208
0 4588 2042
0 2509 1616
0 4454 3638
0 3347 993
0 4938 721
0 4946 2953
0 2385 1832
0 1135 2879
1 1726 543
1 4208 3395
0 2973 3430
0 242 3529
0 4310 2390
0 3515 1207
0 4904 4106
1 3637 3599
1 4478 663
1 2048 3980
0 678 680
1 2550 4106
1 847 1859
0 147 112
1 4627 576
1 4823 2972
1 2932 1583
1 3827 4023
0 1736 824
1 1830 1537
1 1506 1502
0 155 606
1 3272 3056
1 1795 2559
1 3232 730
1 4742 1570
1 3318 1722
1 250 2271
1 483 1820
0 2753 2564
1 1842 3033
1 3531 4132
0 4323 921
0 1246 1179
0 1837 100
1 3109 437
0 4928 3761
1 847 765
1 852 4109
1 774 1773
0 2659 2449
0 4889 2103
0 3661 1220
1 2527 1657
1 1631 4255
1 601 526
0 3314 2868
0 4998 3437
0 831 2998
1 254 2010
1 94 2737
1 506 2331
1 699 1397
1 2592 3354
0 4332 2062
0 2798 2599
1 435 2549
0 560 3997
0 3422 4138
1 3151 1169
1 1555 1639
0 4123 246
0 2089 1121
1 3423 1199
1 722 1660
0 2174 2966
1 4535 1569
0 1789 1229
0 725 3074
0 4899 2150
1 84 1323
1 290 2312
0 1757 3599
0 1793 2418
0 629 425
1 2191 2603
0 1135 415
0 3070 1440
0 2049 416
0 2551 1069
1 1180 1059
0 3030 3121
0 1310 1251
0 1718 1559
1 1845 2321
1 1024 1976
0 4755 3486
1 2121 338
0 1385 1605
0 970 1998
1 4025 3777
0 3457 3503
1 1092 1785
0 2668 4092
0 2958 3289
1 2684 1034
1 371 656
1 4203 3724
0 3670 3132
1 4498 1952
1 1583 2334
1 2714 2343
0 1826 3562
1 3381 1619
0 4170 3280
1 4822 999
0 2527 1729
0 1125 1533
1 2332 2216
0 4549 4192
1 326 196
0 842 4333
1 478 2691
1 3247 1233
0 3162 1519
1 1123 1882
0 3154 4299
0 2657 4284
1 807 1811
1 1285 3197
0 1412 1743
1 212 1588
0 3845 1886
0 3402 436
1 2903 1331
1 305 4236
1 994 1488
1 3989 2803
1 1196 3207
1 4932 1846
0 1047 307
1 2475 1287
1 3281 3143
0 3939 738
1 532 403
1 877 340
0 1148 3003
0 1575 695
1 578 25
0 3192 3208
1 3965 1752
1 4574 4186
0 860 2159
0 4652 2710
1 4196 3451
1 4005 1550
1 202 3602
1 939 858
1 1578 1950
0 219 718
1 852 4343
0 1238 1521
0 238 2901
1 4398 1669
1 769 2610
1 4957 3069
0 914 3296
1 2337 430
0 1862 1622
0 684 1379
1 1439 1910
1 2468 3158
0 303 2788
1 520 3941
0 3409 3733
0 853 2203
0 3729 54
0 3183 287
0 3495 3962
1 3890 2769
1 2560 3537
1 1172 410
1 4301 1560
1 2806 447
1 1339 145
0 1798 118
0 485 2279
0 305 1532
1 2195 2719
0 2734 182
1 3491 3336
1 317 3478
1 803 2491
1 1536 3639
1 4211 3514
0 3652 1468
1 4816 4189
1 3615 3018
1 3739 2733
0 697 971
0 4229 3459
1 4420 3407
1 3738 717
0 1541 2525
1 4294 4072
0 4460 757
1 2892 3480
0 3318 3961
0 272 2122
1 2250 3017
1 4492 715
0 909 2739
1 4026 1527
1 3142 2988
0 2415 3219
1 887 2729
0 2651 1635
1 897 2942
1 927 3470
0 4937 1588
1 660 2917
1 2937 1731
0 2085 1871
1 3906 1842
1 2639 933
1 1144 3023
0 775 879
0 4995 3404
0 3772 566
1 843 4161
0 3257 2476
0 3890 2954
0 4865 1032
1 3567 1774
1 4240 3721
0 4826 2244
0 3840 2086
1 2820 3104
0 1435 561
0 4958 927
0 3340 3234
1 3370 4211
1 11 2247
1 936 3945
0 4287 3230
0 1534 3685
1 4506 3688
0 4910 1254
0 2290 3308
1 3924 1001
1 1102 4254
0 3129 3664
0 647 961
1 4386 2364
0 957 1016
1 293 3290
0 1241 2783
1 3224 737
0 3940 555
1 2160 2803
0 1430 3670
1 3654 556
1 425 1491
0 1607 3521
0 2118 3707
0 1198 2511
1 23 1813
0 2434 4062
0 2600 3663
1 605 1540
1 2758 2604
0 3749 2120
1 597 3933
1 2366 2320
1 2289 1225
0 1004 3879
0 2748 917
1 674 1105
1 1043 1347
1 2496 600
0 309 228
1 4230 136
1 92 2
0 2189 421
1 2610 135
0 2312 4145
0 2939 3057
1 730 4003
0 3910 3369
1 2770 1711
1 822 2195
0 846 155
1 145 133
1 1847 362
1 2559 3999
0 749 2066
0 320 1422
0 4941 259
1 4749 2274
1 3697 2794
0 4684 3358
1 3171 2586
0 2908 2231
0 841 2242
0 2985 951
1 2980 3933
0 3182 1655
0 4985 109
0 1768 401
0 3221 3877
1 896 2801
0 3748 1750
1 2358 859
1 3170 130
0 3372 347
1 572 2007
0 3435 558
1 2603 3405
0 1100 1503
1 541 3298
0 3695 1437
1 1383 2465
0 2155 2550
0 3450 2189
1 4820 2107
0 2471 1590
1 4854 2703
1 2290 3245
0 1069 3476
1 2293 956
1 3306 3918
0 1494 2309
0 28 3063
1 3167 76
1 1751 303
1 118 4330
0 2598 3771
1 2372 279
0 4426 2661
0 1878 2983
1 2949 1137
0 4886 4272
1 2788 1453
1 4012 2237
0 1729 2768
1 4308 3029
0 26 1769
1 965 3167
0 1079 2656
1 4172 1376
1 4431 2988
0 3256 593
1 677 1370
1 1552 3153
1 2979 526
0 1128 3928
0 3471 2266
0 2564 2227
1 696 3798
0 289 1758
0 4986 1045
0 3092 1957
0 1101 2087
0 392 878
0 2778 3117
1 2714 4030
1 3965 4325
0 480 3424
0 4630 1969
0 841 2255
1 990 3280
0 4376 2195
1 2236 2908
0 2358 3614
1 3753 1835
0 4501 703
0 2558 3246
1 652 2900
0 3397 2829
1 4575 1705
0 653 903
1 3766 3774
0 2168 2213
0 2889 1937
0 1128 2114
1 2567 3997
0 3334 2087
1 4602 3362
0 1230 2078
0 2971 2032
1 111 269
0 2637 3274
1 4991 3577
0 3274 3993
1 4229 1049
0 633 2574
1 1551 3900
0 4595 1017
1 244 1698
1 4479 3561
0 3142 890
0 3572 1314
0 3794 2314
1 98 3177
1 3490 2802
1 2722 4115
1 5000 2742
1 1527 2292
0 4308 1315
0 3091 3004
1 2451 364
1 3039 3725
0 1326 3449
1 3126 2112
0 2680 1650
1 1115 191
0 2351 1367
1 1071 3643
0 3230 1682
1 3704 2274
1 1815 2738
1 4027 4069
0 4326 1208
1 1352 1716
0 2432 1251
1 444 1225
1 2370 227
1 2466 2155
0 3972 3678
1 2133 2144
0 4130 1840
0 3104 3656
1 2628 207
0 2845 2870
0 206 2136
1 494 808
0 488 3363
1 2483 3481
1 708 3453
1 1768 1338
0 2809 3394
1 3577 2016
0 3463 928
1 143 3579
0 1742 3745
1 4588 3077
1 2499 2129
1 4177 1904
0 4341 2422
0 2571 1017
0 2570 326
1 2506 3086
1 4107 1411
1 3996 128
0 2580 1318
0 937 1882
0 4512 3045
1 3377 1411
1 3645 3120
1 641 3515
0 2847 755
1 746 1028
0 2440 4003
1 3260 825
0 4700 3789
1 3315 1983
0 952 564
0 1746 3622
0 883 1225
0 2719 1539
1 4020 1552
0 300 308
1 3783 188
0 635 2118
1 4646 1342
0 3910 1970
1 4365 2728
1 4863 1760
1 4580 605
1 1504 2412
1 909 3850
0 2661 530
1 3320 251
1 641 802
1 4971 1582
0 3890 653
0 1038 3516
1 4574 896
0 4226 2538
0 3639 3591
0 3452 3219
0 2864 2542
1 3972 2587
1 4215 3370
0 1852 1730
1 639 1456
1 1186 4166
0 3501 2090
0 2976 4289
0 1847 2561
1 1480 3522
0 4949 25
1 1203 1074
1 376 3601
0 3103 659
1 1732 2653
0 174 2854
0 4144 367
0 3505 936
0 4188 1545
1 1346 4241
0 2238 554
0 876 3696
0 1932 1234
0 4694 3031
1 483 1607
0 4542 2326
1 2908 733
1 155 1710
1 507 3808
0 2604 2283
1 2599 719
0 653 2020
0 3439 4059
1 3821 2600
1 1 3357
1 3970 4165
0 3265 4111
0 35 1665
1 3607 1113
0 828 668
0 880 4215
0 2360 3080
